id,title,date,time,course,type,recurring,description
1,Database Systems,2025-01-19,09:00,CSE123,lecture,weekly,Introduction to Database Design Patterns
2,Web Development,2025-01-19,14:00,CSE234,lecture,weekly,Hands-on session on React and Next.js
3,Machine Learning,2025-01-20,11:00,CSE456,lecture,weekly,Neural Networks Implementation Lab
4,DB Office Hours,2025-01-19,13:00,CSE123,office-hours,weekly,Weekly office hours for Database Systems
5,ML Office Hours,2025-01-21,15:00,CSE456,office-hours,weekly,Weekly office hours for Machine Learning
6,DB Project Due,2025-01-20,23:59,CSE123,deadline,,Database Schema and API Implementation Due
7,Web Assignment,2025-01-22,23:59,CSE234,deadline,,React Components and State Management
8,ML Project Due,2025-01-25,23:59,CSE456,deadline,,Neural Network Training Results Due
9,DB Midterm,2025-01-26,10:00,CSE123,exam,,Covers Weeks 1-7: Database Design SQL and Normalization
10,Web Dev Quiz,2025-01-21,14:00,CSE234,exam,,React Fundamentals and Hooks
11,Department Meet,2025-01-21,09:00,,meeting,,Monthly Faculty Coordination Meeting
12,TA Meeting,2025-01-22,13:00,,meeting,,Weekly TA Meeting for All Courses
13,DB Extra Session,2025-01-23,10:00,CSE123,lecture,,Extra Review Session for Midterm
14,ML Guest Lecture,2025-01-24,15:00,CSE456,lecture,,Industry Expert Talk on AI Applications 